date,immediate,staggered,spy
2025-05-27,108704.65311156341,109212.59927111803,105677.61471137188
2025-05-28,107801.08210698073,108550.6382138097,105066.22661795697
2025-05-29,109273.45044643723,109618.68839591529,105480.96539831879
2025-05-30,108218.2079185131,108856.18430512652,105362.98453930291
2025-06-02,109249.44982997177,109606.21923145687,105956.48947097482
2025-06-03,110824.72037011466,111087.69457539287,106560.71993528455
2025-06-04,110757.49869115296,110979.40756722262,106532.11124090376
2025-06-05,110141.20791965653,110398.12798430574,106017.26385224907
2025-06-06,111521.44481118831,111739.93407264679,107105.95451457637
2025-06-09,112118.50593047643,112302.28847464256,107202.48430831662
2025-06-10,112963.3257154257,113129.49195678398,107810.29358717895
2025-06-11,112820.11259992296,113023.97267552346,107502.81013319518
2025-06-12,113902.39652710699,114047.44277717252,107930.0638534711
2025-06-13,113738.80448518932,113980.63567505483,106723.39233212796
2025-06-16,114389.5875775113,114554.67622281931,107738.7827622469
2025-06-17,114740.18144739894,114929.54561761057,106818.1436296119
2025-06-18,114654.58476977308,114812.15895201183,106802.04987514518
2025-06-20,114551.76191113518,114759.59989896086,106237.15363785409
2025-06-23,114239.42473977906,114385.84853431361,107286.51007316275
2025-06-24,114736.84411472028,114765.79907858792,108471.73052923029
2025-06-25,116416.28932823052,116363.3036075156,108532.50491050455
2025-06-26,117404.37488396637,117367.28872454111,109381.64412922751
2025-06-27,118095.6830947369,118015.65749785848,109925.089301243
2025-06-30,118105.5255621259,118000.51355516395,110450.6622225355
2025-07-01,117031.59590926519,116973.4882143659,110414.91772108944
2025-07-02,118556.71076209759,118500.45372372886,110915.46076255372
2025-07-03,119674.33696596362,119606.51548069835,111789.6298611049
2025-07-07,119098.35497297128,119025.85566167363,110956.57348582866
2025-07-08,120277.80529918225,120236.17193009442,110895.7991045544
2025-07-09,121157.70957013793,121087.79063304521,111560.80395013839
2025-07-10,121746.69972895586,121684.79343669084,111875.43412220736
2025-07-11,122229.20766465832,122169.28869482903,111482.14640712115
2025-07-14,121916.20879465176,121839.37996906933,111694.87856362095
2025-07-15,123102.36641574741,122972.45205638328,111217.57599470859
2025-07-16,123041.21541252178,122897.21493832073,111589.40173349921
2025-07-17,123718.32773360099,123559.59337287613,112272.28974082616
2025-07-18,122626.8306451326,122441.2246609755,112190.06429427631
2025-07-21,122196.60310000656,122008.84710887581,112402.79645077614
2025-07-22,119727.7610855668,119570.28016497406,112418.87929422285
2025-07-23,121523.61020135101,121364.341563053,113375.28475034387
2025-07-24,122610.70979343873,122445.53740707833,113412.81865906621
2025-07-25,122606.23281395296,122433.43081002345,113891.91063525486
2025-07-28,123770.5851528529,123596.05981121623,113863.31285189404
2025-07-29,123866.32798162264,123714.01536785785,113562.98702701546
2025-07-30,124463.28842491013,124271.7601313288,113419.97628817137
2025-07-31,124182.70250181909,123990.25616985814,112994.51197517176
2025-08-01,122093.49407287799,121902.69416760589,111142.48635522397
2025-08-04,123737.23336792013,123508.23594944562,112831.8286673084
2025-08-05,123131.51333617154,122911.37096324615,112259.77480091207
2025-08-06,123279.26727687957,123045.93194905922,113119.65046329283
2025-08-07,123349.65027864346,123108.57352063156,113024.89916580889
2025-08-08,124018.92188433601,123778.4163872437,113906.21498244526
2025-08-11,123565.73744081466,123319.33776056631,113680.96788603134
2025-08-12,124696.45030416768,124440.49010734554,114891.21822192709
2025-08-13,124895.27828838018,124655.41567882664,115284.5059370133
2025-08-14,124808.27226929154,124567.11262883904,115295.2314696511
2025-08-15,123980.9552976878,123745.6489566954,115025.29283540965
2025-08-18,124314.93164283587,124072.09747503593,115000.26295558145
2025-08-19,122559.71491272002,122345.6500723212,114376.3708332724
2025-08-20,122797.12459283453,122593.48335200021,114072.46619384126
2025-08-21,122877.55859725586,122682.58216627105,113614.82528292821
2025-08-22,124611.55653527369,124421.31402728878,115359.58466547796
2025-08-25,125016.3109157127,124825.56003459074,114851.8839949085
2025-08-26,125845.39419909712,125641.02935081671,115332.76537837344
2025-08-27,126319.52923381497,126125.34458810944,115595.55729452969
2025-08-28,126542.07645364317,126354.8346558024,116004.9278530626
2025-08-29,125037.57626047809,124881.22725686873,115313.10372037413
2025-09-02,124135.08461752327,123994.55354369353,114458.60719084225
2025-09-03,123146.83225067012,122984.00704776427,115078.92049859869
2025-09-04,124106.29135582634,123939.25547772598,116040.68326552861
2025-09-05,122327.60550026082,122150.31483948126,115704.60202818405
2025-09-08,122740.43360410721,122559.15096528914,115988.84500961588
2025-09-09,123389.45261871238,123207.86061022553,116256.99423658103
2025-09-10,125745.87744245195,125557.74779926888,116593.07547392561
2025-09-11,126083.03611578225,125888.74423467224,117561.98495894075
2025-09-12,126368.3118930005,126165.48380446402,117522.65073192214
2025-09-15,126820.79716148769,126610.37339094582,118148.33226150747
2025-09-16,126822.01866437192,126639.504042982,117985.65986466408
2025-09-17,125912.40118341864,125747.97786521702,117839.0703112674
2025-09-18,127394.09596156432,127198.37559444511,118389.67311238809
2025-09-19,127311.60112777707,127099.31822496724,118647.09680671543
2025-09-22,128798.2683884325,128553.48618085217,119208.42514047392
2025-09-23,128465.06710941604,128250.9732154276,118559.50313833667
2025-09-24,128342.75965369467,128144.57934633977,118182.2982666972
2025-09-25,128616.1375232921,128427.7701800788,117637.06368740539
2025-09-26,129539.49491055367,129356.39492351169,118311.01556937085
2025-09-29,129668.22242577371,129449.7985028091,118643.51799216284
2025-09-30,130770.41415282364,130519.59897947403,119090.43337043807
2025-10-01,131090.72483170623,130833.85419468401,119496.2360254384
2025-10-02,131207.11630588537,130941.57686202123,119633.87854245357
2025-10-03,131512.23988304223,131253.6779857467,119632.10004619726
2025-10-06,132368.7014669526,132104.49662390444,120061.1322627295
2025-10-07,131862.86386500008,131605.91742335138,119616.00629173058
2025-10-08,133109.19449009642,132837.04028018683,120329.28148969467
2025-10-09,132863.28265822152,132582.76608441188,119980.68531243598
2025-10-10,128564.5531469783,128296.13277854458,116737.87562004599
2025-10-13,130920.65139131431,130646.9158909726,118529.10503667957
2025-10-14,129184.92089180539,128924.7891516712,118384.3048905592
2025-10-15,129055.36615942011,128794.61859701545,118909.87781185168
2025-10-16,128780.51174376349,128513.11920289054,118100.07282014734
2025-10-17,129609.5175689096,129345.69583293775,118770.44588756018
2025-10-20,130585.23755052059,130318.09375468704,120005.71519226418
2025-10-21,129943.71488365615,129684.08217354822,120003.92578498789
2025-10-22,129912.73602464129,129668.56198944032,119380.03366267885
2025-10-23,131290.01584795577,131047.69391161235,120087.951549834
2025-10-24,132156.8134142037,131899.06047469666,121069.37597476324
2025-10-27,134098.15479465335,133826.08853095202,122497.71577796774
2025-10-28,135912.09898508328,135613.1803185732,122823.07148267451
2025-10-29,137636.80613656514,137334.64228786528,122882.06736769242
2025-10-30,135732.26352368036,135438.01143641438,121530.59570022888
2025-10-31,135630.28790881817,135341.53408740455,121929.24072612402
2025-11-03,136285.75046750368,135993.93094565655,122158.06663709052
2025-11-04,133748.90660789612,133468.15651390306,120710.05426486676
2025-11-05,132721.47554084606,132453.71527818879,121128.37185978118
2025-11-06,130839.73941606475,130594.57187270632,119828.73844823036
2025-11-07,131259.95296036053,131032.06189266403,119946.71930724625
2025-11-10,134286.93993023745,134049.7713393968,121818.40658519336
2025-11-11,133681.6558537248,133455.36451841012,122097.28134479631
2025-11-12,133376.37372918392,133138.68006015156,122165.21335517574
2025-11-13,131300.69305173247,131080.5531529052,120138.00039847045
2025-11-14,132832.7463761009,132607.72882496007,120118.33874047112
2025-11-17,131280.41410275258,131048.4166185208,118999.26088750672
2025-11-18,130103.51195581391,129889.69861596238,117999.96421185449
2025-11-19,130430.08996786055,130208.11671360239,118455.81571549122
2025-11-20,127936.46027736025,127724.93512829958,116650.28195166725
2025-11-21,127442.05491274918,127242.02893493943,117812.26193518286
2025-11-24,128379.15529787226,128172.92129788431,119546.28487407483
2025-11-25,127419.41797260856,127208.77734317596,120670.73094886813
2025-11-26,128710.77251803182,128493.64261099751,121503.77641312437
2025-11-28,129146.42224066824,128932.52675459225,122167.00276245204
2025-12-01,129024.98041781657,128828.4265303982,121609.25324324614
2025-12-02,129362.9670769113,129152.10968114511,121834.50033966005
2025-12-03,129845.65845033716,129652.05442420603,122256.38583810709
2025-12-04,130660.71131659967,130461.19700775768,122345.76891376215
2025-12-05,130488.33574746524,130283.26434788381,122578.16272826128
2025-12-08,131530.84447238373,131304.65516037116,122209.90489300327
2025-12-09,131983.2604098856,131763.516690825,122104.4280628815
2025-12-10,132173.2310588525,131967.01412221382,122914.24396560584
2025-12-11,131942.46194831302,131730.04375505354,123200.265443294
2025-12-12,129913.30532178891,129704.00881200803,121875.61306293498
2025-12-15,129757.24322952906,129542.03140951933,121691.478689796
2025-12-16,128603.8572331518,128372.62074342633,121358.976267004
2025-12-17,127492.95633840209,127286.96375420075,120023.59835400718
2025-12-18,128263.4008837569,128042.3673576597,120929.93313945178
2025-12-19,130370.1984009376,130136.57019895765,121666.45972098775
2025-12-22,131810.7162641759,131571.64700128292,122424.42645677937
2025-12-23,133358.48139282738,133118.13550093712,122983.96538326157
